METHOD;PARA_NAME;DATATYPE;DEFAULTVAL;INTVAL;DOUBLEVAL;STRVAL;DESCRIPTION;DEPENDENCY
AES;GAMMA_MIN;DOUBLE;1E-10;;1e-10;;Sets the minimum value of GAMMA.;Only valid when GAMMA is not defined.
AES;PHI_MIN;DOUBLE;1E-10;;1e-10;;Sets the minimum value of PHI.;Only valid when PHI is not defined.
AES;ALPHA_MAX;DOUBLE;1;;1;;Sets the maximum value of ALPHA.;Only valid when ALPHA is not defined.
AES;BETA_MAX;DOUBLE;1;;1;;Sets the maximum value of BETA.;Only valid when BETA is not defined.
AES;GAMMA_MAX;DOUBLE;1;;1;;Sets the maximum value of GAMMA.;Only valid when GAMMA is not defined.
AES;PHI_MAX;DOUBLE;1;;1;;Sets the maximum value of PHI.;Only valid when PHI is not defined.
AES;PREDICTION_CONFIDENCE_1;DOUBLE;0.8;;0.8;;Prediction confidence for interval 1;Only valid when the upper and lower columns are provided in the result table.
AES;PREDICTION_CONFIDENCE_2;DOUBLE;0.95;;0.95;;Prediction confidence for interval 2;Only valid when the upper and lower columns are provided in the result table.
AES;LEVEL_START;DOUBLE;No default value;;;;The initial value for level component S. If this value is not provided, it will be calculated in the way as described in Triple Exponential Smoothing.\n\nNote: LEVEL_START cannot be zero. If it is set to zero, 0.0000000001 will be used instead.\n\nRefer to Triple Exponential Smoothing for detailed information;
AES;TREND_START;DOUBLE;No default value;;;;The initial value for trend component B. If this value is not provided, it will be calculated in the way as described in Triple Exponential Smoothing.\n\nRefer to Triple Exponential Smoothing for detailed information;
AES;SEASON_START;INTEGER\n or DOUBLE;No default value;;;;A list of initial values for seasonal component C. If this parameter is not used, the initial values of C will be calculated in the way as described in Triple Exponential Smoothing.\n\nTwo values must be provided for each cycle:\n\nCycle ID: An INTEGER which represents which cycle the initial value is used for.\n\nInitial value: A DOUBLE precision number which represents the initial value for the corresponding cycle.\n\nFor example: To give the initial value 0.5 to the 3rd cycle, insert tuple ('SEASON_START', 3, 0.5, NULL) into the parameter table.\n\nNote: The initial values of all cycles must be provided if this parameter is used.\n\nRefer to Triple Exponential Smoothing for detailed information;
AHC;DISTANCE_FUNC;INTEGER;11;11;;;11: Precalculated Distance (Based on Gowers Distance Method);
